Tiempo (s),Pitch Accel (°),Pitch Kalman (°),q (°/s)
27.03895378112793,-6.014133150236766,8.035055657153455,22.442748091603054
27.14604687690735,-6.009479703051746,5.274720873207212,8.541984732824428
27.253074645996094,-2.0164834297589835,4.243883035880707,16.671755725190838
27.3601336479187,7.284808792753073,5.380127948948915,21.419847328244273
27.467161417007446,7.87656067331408,3.467338623955074,-12.595419847328245
27.573984384536743,6.140294050781318,0.9638209927862753,-20.580152671755727
27.6810245513916,2.2194134390236724,-0.8753083809913083,-11.183206106870228
27.7881760597229,2.7911218994458054,-2.1137617828590805,-9.86259541984733
27.894997358322144,-0.25243927368597735,-6.092138920509907,-38.3206106870229
28.002086400985718,-8.659285937242462,-8.643749498284643,-14.251908396946565
28.109136819839478,-8.079911794357347,-10.498774276357683,-12.67175572519084
28.216158628463745,-10.12921669227183,-9.502574074967995,19.717557251908396
28.323174953460693,-10.331446065212731,-9.748119636548347,8.15267175572519
28.430251359939575,-3.3147970912514584,-7.203904730266213,25.15267175572519
28.537291765213013,1.7250876628175829,-2.812280234655792,40.282442748091604
28.644304513931274,1.9376251954394028,-0.4574445719081093,24.748091603053435
28.751363277435303,3.0868897395209656,-0.7617943531522094,-3.5648854961832064
28.85818862915039,5.305425890940083,0.4773177346064891,8.068702290076336
28.96523904800415,1.379373305635604,-0.3402837496646075,-5.755725190839694
29.072290420532227,-5.07337537873579,-5.235973623338425,-40.969465648854964
29.17959237098694,-4.927630844390119,-7.186899540462961,-17.801526717557252
29.28651213645935,-6.080345288578693,-8.453040641846899,-12.068702290076336
29.39367365837097,-5.14342883887999,-9.082266317485788,-9.86259541984733
29.500913858413696,-3.76991225437805,-9.72385494937577,-14.847328244274811
29.608415603637695,-7.6271988251702005,-10.13897600827219,-6.916030534351145
29.71569037437439,-6.982441092738968,-10.054610628973315,-3.885496183206107
29.822691679000854,-6.333917563256159,-9.580520303225711,-1.2442748091603053
29.92956519126892,-8.794920487123777,-9.258075914669089,2.404580152671756
30.03642225265503,-7.172501936203547,-8.815007149075107,1.015267175572519
30.143287897109985,-7.087588360443477,-9.413748710155579,-10.473282442748092
30.25010085105896,-11.163200400394198,-10.874017328112748,-13.618320610687023
30.357306718826294,-12.886675053926304,-12.022201457039232,-9.465648854961833
30.464656591415405,-8.756273841560573,-11.56100208911264,-1.7633587786259541
30.571866035461426,-12.769076426691187,-13.721934136706091,-23.022900763358777
30.678709506988525,-14.040558002023722,-16.357242486054993,-30.404580152671755
30.78550410270691,-14.840630776372977,-15.696045344319655,2.885496183206107
30.89232349395752,-12.525391506361785,-14.950067020200281,0.2824427480916031
30.999109983444214,-14.027308916261081,-14.09673529127627,5.641221374045801
31.105936765670776,-19.642949461366477,-16.135667544685003,-14.099236641221376
31.212746620178223,-15.489368663194277,-15.49713795118818,4.450381679389313
31.319724321365356,-13.380979966407008,-14.704199583027258,3.1908396946564888
31.426997661590576,-11.138368879744595,-11.282777208589064,29.90076335877863
31.53433394432068,-13.640158541011198,-13.506659987018558,-22.221374045801525
31.641529321670532,-18.451058103259406,-16.460189531807018,-25.27480916030534
31.748823404312134,-14.679883133036816,-15.049734047020376,10.992366412213741
31.85565185546875,-14.552830214901993,-13.892490849661808,10.709923664122137
31.962498426437378,-13.39334053435254,-12.293973780801108,15.908396946564885
32.06930184364319,-14.271761622391635,-14.424371895205246,-21.351145038167942
32.17608141899109,-10.607902245250926,-13.474153592769074,1.8702290076335877
32.28289771080017,-9.115638697140442,-10.764531002643743,20.27480916030534
32.390135288238525,-12.02817441747263,-9.271057593978533,17.610687022900763
32.49738311767578,-6.309506518183119,-0.9343863740243515,87.06870229007633
32.60456824302673,-0.7791595572884096,2.706086625023127,40.778625954198475
32.711665391922,-2.9842193292666637,0.09400150972353864,-17.748091603053435
32.818588733673096,2.6275817266258366,0.26865179502147446,-2.2900763358778624
32.925426959991455,-8.49671777448568,-8.268056155713458,-78.93129770992367
33.03226709365845,-17.05823228495209,-10.999508410173616,-12.610687022900763
33.13908886909485,-12.070305228335425,-8.376358200137389,33.86259541984733
33.24596190452576,-9.473282020415104,3.6107201623727283,141.59541984732823
33.35318684577942,3.446461984524544,-0.8789925156963021,-45.79389312977099
33.46057319641113,6.622098720933702,4.739632615486286,52.6793893129771
33.56772041320801,10.634316513507782,2.4594565071882215,-34.14503816793893
33.674729347229004,-17.720397925414282,-2.2690501445851305,-10.221374045801527
33.781614780426025,-1.3167777252378994,-10.58434778592208,-91.54961832061069
33.88843894004822,0.9729611962566364,-4.738634674928622,46.38931297709924
33.99525856971741,-4.126828990820382,-8.685840873322412,-44.030534351145036
34.10209035873413,-3.4668778509021183,-7.159644474716913,8.068702290076336
34.20892882347107,-13.260204664620577,-9.289527744948368,-11.145038167938932
34.31571555137634,-15.305672572389579,-9.299365983313024,13.6793893129771
34.422966718673706,-9.969931438321153,-9.844306500591157,-2.2061068702290076
34.530293703079224,2.400190754683928,-5.7275520685475945,24.343511450381683
34.637306928634644,-17.299108123031267,-9.947565605320268,-23.290076335877863
34.74437713623047,-2.2280833462849334,-0.8948788238827604,89.8473282442748
34.851160287857056,-1.3718011464792013,-1.5407943513912374,-3.603053435114504
34.95806264877319,-14.238350555256217,-4.925177448623422,-9.786259541984732
35.06488585472107,-8.293259654809672,-4.154348592526663,20.33587786259542
35.17170262336731,2.720820261305843,1.3918036235602147,54.6412213740458
35.278523445129395,6.761334841789861,-0.27486639190429213,-24.885496183206108
35.38551664352417,25.02038181329675,2.5055443324259414,-16.480916030534353
35.492531538009644,22.20425167101657,5.579800301089466,-6.1603053435114505
35.59954333305359,14.674080387563263,2.2907814005844624,-60.267175572519086
35.706608295440674,2.298115573401177,3.1149390568709823,2.763358778625954
35.813414573669434,9.107014466862974,3.6867606158885144,-12.236641221374045
35.920191287994385,13.2119146584168,-1.9895589457316243,-91.9618320610687
36.027016401290894,5.839954521404909,-0.7768494771758332,-12.86259541984733
36.13383674621582,1.291109898609775,-2.508289772293721,-35.961832061068705
36.2406222820282,4.392572304832748,1.1488582193537307,14.854961832061068
36.34769368171692,11.925049283322519,4.3494330552066645,1.0305343511450382
36.45474863052368,7.273592583974112,8.623198497595583,27.801526717557252
36.561795711517334,8.077722728923487,12.537513644158352,31.099236641221374
36.668753147125244,7.2204750403584095,13.311460608947806,6.015267175572519
36.77556586265564,4.084128364840951,12.017890305303975,-8.282442748091603
36.88261365890503,-5.9685477050297395,6.558867971140391,-36.229007633587784
36.989938735961914,-7.072753940008403,2.48428417538384,-26.80916030534351
37.09728693962097,0.5050990153113928,9.905967340491301,81.96946564885496
37.20448350906372,8.108165994873534,19.48351471070576,108.02290076335878
37.31166219711304,5.271019991469035,20.913334990368337,43.19847328244275
37.41888403892517,5.705604380487355,23.31102907018723,59.42748091603054
37.52604055404663,11.917538536128562,15.71252922717208,-58.572519083969475
37.6328444480896,8.23791752969983,11.271114192840425,-30.00763358778626
37.73989772796631,-4.622593408933746,7.028928259111002,-9.885496183206106
37.8467435836792,-6.781151365319087,5.7246071264352745,21.69465648854962
37.9539155960083,1.1006621939890933,-0.07715609167914331,-46.00763358778626
38.060731410980225,-4.807452175954476,-8.458253009056685,-75.20610687022901
38.16775846481323,-14.449433988850565,-14.219487369077125,-43.725190839694655
38.274818658828735,-19.25626232008016,-18.490699376559053,-28.54198473282443
38.38158702850342,-21.446485177642774,-21.07583234179938,-13.442748091603056
38.48858976364136,-18.235448738978224,-20.365451191339147,12.290076335877863
38.59562802314758,-17.029531493963372,-18.503363686682412,23.96946564885496
38.70273518562317,-16.687860612217666,-19.47964915330418,-5.557251908396947
38.80991077423096,-19.228959397083642,-20.071085939753473,1.4809160305343512
38.91696071624756,-17.567752130460896,-20.087770000074922,3.2442748091603053
39.02349829673767,-18.477710161868856,-21.14486085835415,-7.33587786259542
39.13045310974121,-15.855209876285118,-20.751961646346917,1.1068702290076335
39.23737144470215,-13.423769794316947,-20.341862124376398,-3.83969465648855
39.34722828865051,-11.613897568042972,-18.9156045608453,3.4732824427480917
39.453327894210815,-11.4951641160221,-18.441319200575087,-5.984732824427481
39.559699058532715,-5.7004562511703085,-20.44643104868535,-47.25190839694657
39.66588234901428,-17.060860503564466,-18.45382628646747,15.129770992366412
39.77182149887085,-20.51392481053419,-22.035516870670666,-37.88549618320611
39.87776970863342,-13.899395172607331,-21.473693765110145,-11.67175572519084
39.983670473098755,-22.04807595739079,-19.52088907315956,20.81679389312977
40.0895836353302,-11.792394872984001,-21.79934308626234,-44.49618320610687
40.19552683830261,-14.253924964828188,-17.814583233293362,25.938931297709924
40.30142641067505,-11.611237243290587,-16.85861989849046,-6.83969465648855
40.407334089279175,-12.48831793640464,-15.482087086410493,0.7251908396946565
40.51344156265259,-17.32265341819544,-15.15159762664035,0.8778625954198475
40.61934208869934,-13.132303754307035,-12.00528527213555,25.763358778625957
40.72522711753845,-7.245312542673225,-14.310277077644749,-42.37404580152672
40.83115267753601,-17.2300023260712,-11.77431579985101,27.732824427480917
40.93708086013794,-8.834084296363327,-7.5719488328651305,35.908396946564885
